date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1990-11-01,-0.47,-0.13,0.08,-0.53,0.55,-3.0,0.14,-0.61,0.09,-0.05,-7.16,-3.19,-3.03,-5.32,-3.99,-5.36,-3.72,-4.8,-4.96,-5.44,-1.44,-4.08,-2.28,-1.39,-4.53
1990-12-01,-0.5,2.35,0.85,-0.6,0.95,1.24,1.76,1.8,1.68,1.81,2.75,0.97,-0.02,-0.14,0.06,-0.34,1.44,-0.23,0.63,0.82,2.64,3.35,2.75,0.94,0.1
1991-01-01,2.25,2.48,2.26,2.04,4.06,-0.03,1.66,1.8,2.77,2.03,0.31,0.73,1.62,-0.62,1.01,0.92,1.73,0.09,1.41,1.94,4.25,3.41,3.12,2.7,4.74
1991-02-01,11.62,10.69,9.84,10.04,10.37,13.03,12.47,11.7,9.46,11.44,13.71,12.23,14.0,13.67,13.02,13.45,11.63,12.48,13.48,12.64,9.3,7.43,7.91,9.22,10.28
1991-03-01,4.61,2.51,2.31,2.02,2.96,1.44,-0.06,-0.17,1.03,1.21,0.02,-0.81,-0.76,-1.4,0.43,-0.59,-1.35,-2.64,-1.49,-0.5,-0.82,-2.33,-2.17,-4.0,-3.45
1991-04-01,-0.06,-0.79,0.9,0.09,1.55,0.38,1.34,1.7,-0.18,1.06,0.01,-0.23,0.32,1.59,1.15,-0.14,-0.46,1.04,1.25,1.46,0.51,1.44,1.43,1.14,0.82
1991-05-01,1.34,1.44,1.68,0.82,1.17,-0.14,1.28,1.33,1.72,0.52,-0.55,0.6,1.25,1.23,0.68,0.28,0.7,-0.48,1.78,1.35,1.66,1.22,1.59,1.42,1.3
1991-06-01,-5.42,-5.3,-4.36,-3.49,-3.95,-5.38,-5.53,-4.22,-4.17,-4.02,-5.03,-5.99,-5.28,-3.72,-4.26,-5.55,-5.21,-5.24,-5.29,-4.75,-5.96,-6.4,-5.74,-6.64,-5.12
1991-07-01,1.79,3.3,2.91,3.71,2.54,2.07,3.85,1.38,2.09,1.99,2.09,3.22,1.98,2.12,2.35,3.29,2.27,2.44,3.21,3.39,5.38,3.33,5.24,4.91,4.05
1991-08-01,-0.82,1.27,1.05,1.09,0.65,-1.73,0.79,-0.14,0.04,-0.54,-0.72,-1.44,-2.51,-2.42,-1.9,-2.33,-0.98,-2.88,-2.17,-2.4,0.54,-0.8,-0.38,-0.99,-1.54
1991-09-01,6.06,5.27,4.24,3.68,2.41,3.5,4.02,5.0,2.0,2.43,3.74,4.46,4.51,3.58,3.28,5.31,4.3,4.45,5.85,3.59,1.96,3.04,3.29,4.07,3.23
1991-10-01,2.32,2.12,1.62,1.17,0.35,2.79,1.43,0.76,0.99,1.0,2.47,1.6,1.44,0.81,2.85,2.06,1.23,1.11,0.68,2.02,3.21,2.6,0.85,0.74,1.57
1991-11-01,-2.04,-2.03,-2.19,-0.88,-2.34,-3.74,-4.18,-4.72,-3.24,-5.57,-4.34,-5.8,-5.05,-5.48,-6.21,-6.0,-4.29,-6.8,-5.1,-5.98,-3.1,-4.86,-4.24,-5.12,-6.28
1991-12-01,5.24,4.65,3.94,2.33,3.31,6.97,5.11,3.51,3.72,4.61,7.74,6.0,4.66,4.4,5.57,7.42,5.85,5.47,5.76,5.48,10.68,6.54,5.11,6.46,5.79
1992-01-01,3.25,4.21,1.43,2.35,5.77,0.01,1.15,0.19,2.15,3.58,-0.86,0.07,1.03,0.47,2.17,-2.37,-0.42,-0.87,-0.66,1.39,-3.78,-3.68,-2.61,-0.91,0.06
1992-02-01,-0.6,0.77,2.04,1.34,3.78,-1.18,0.17,-0.12,0.39,2.17,-1.68,-0.19,-0.95,-0.58,1.85,-1.53,0.05,-0.92,-0.08,-0.29,-2.41,-2.63,-2.4,-1.31,-1.07
1992-03-01,-6.76,-4.1,-3.54,-1.91,-1.55,-7.58,-4.75,-3.69,-3.27,-2.53,-6.2,-5.21,-4.82,-4.35,-4.07,-6.0,-4.66,-4.48,-5.37,-5.11,-5.63,-5.97,-4.37,-3.97,-5.28
1992-04-01,-5.14,-0.71,1.97,0.44,-0.43,-3.91,-1.79,-1.25,-0.17,-0.8,-3.32,-0.4,-1.3,-1.65,-0.52,-4.06,-0.68,-0.34,0.52,0.87,-1.84,0.32,2.03,1.71,3.42
1992-05-01,2.48,3.73,4.8,4.5,3.59,4.83,3.97,4.98,4.7,5.79,4.09,4.75,5.59,4.72,6.14,5.01,5.19,5.39,5.28,5.03,4.22,3.54,4.47,4.55,4.36
1992-06-01,-3.67,-2.74,-1.4,-1.59,-2.57,-4.17,-4.05,-3.87,-2.61,-2.75,-4.08,-3.91,-2.35,-3.91,-2.59,-3.8,-3.72,-4.12,-2.38,-3.36,-4.4,-3.11,-3.37,-2.63,-2.98
1992-07-01,-1.91,-2.92,-1.01,-2.99,-1.03,-3.82,-2.21,-2.01,-2.28,-2.16,-1.87,-3.39,-3.57,-1.68,-3.93,-2.04,-1.52,-1.24,-2.27,-4.03,2.21,0.11,0.47,-0.28,-1.91
