date,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
1990-11-01,1.49,-0.44,-2.04,-1.65,-0.35,0.6,-2.04,-3.56,-4.1,-2.81,-2.85,-3.73,-5.8,-6.86,-5.39,-0.6,-4.9,-2.96,-5.76,-6.06,-5.94,-6.11,-2.99,-1.85,0.71
1990-12-01,-1.44,1.23,-0.09,0.14,0.39,0.68,1.26,0.33,0.55,-0.78,0.58,0.91,0.01,-0.17,-0.19,1.74,2.09,1.83,0.07,-2.98,6.15,3.71,1.31,0.52,-0.46
1991-01-01,4.41,1.49,0.36,-0.31,2.63,2.81,-0.73,-0.03,-1.49,1.24,1.58,-1.07,0.33,0.0,0.8,4.19,0.71,-0.1,0.45,1.29,5.38,3.91,4.15,1.91,3.52
1991-02-01,16.93,12.01,9.9,8.57,10.37,19.2,15.07,11.06,10.05,9.5,20.79,16.52,12.75,10.89,10.44,16.95,14.57,11.44,9.38,8.88,13.74,9.76,8.82,6.13,7.27
1991-03-01,2.34,1.25,0.46,2.13,4.92,0.07,0.83,0.99,0.62,4.14,-0.94,0.04,-1.41,-1.03,2.25,-2.21,-1.14,-2.0,-0.8,0.54,-3.32,-3.43,-3.6,-2.46,-0.53
1991-04-01,0.24,1.32,2.52,1.02,1.61,0.86,1.41,1.5,1.46,1.3,1.27,1.61,1.67,2.82,0.44,0.96,0.26,1.28,1.07,0.18,2.14,0.56,1.05,1.26,0.44
1991-05-01,-0.8,0.19,-0.33,1.02,2.81,-1.11,0.63,0.28,0.01,2.55,-0.52,1.03,-0.28,0.17,1.09,0.91,-0.21,0.53,0.3,1.23,2.37,1.18,1.81,0.76,1.62
1991-06-01,-4.78,-3.66,-2.73,-3.51,-4.21,-4.46,-3.99,-3.85,-4.18,-3.72,-4.78,-4.95,-3.11,-4.14,-3.92,-6.52,-5.64,-5.2,-4.47,-4.11,-7.11,-6.47,-6.54,-5.38,-5.11
1991-07-01,1.33,1.08,2.84,2.69,5.13,-0.1,1.6,1.08,2.56,3.74,0.99,2.01,1.58,1.21,4.77,1.05,2.11,1.62,3.58,4.43,2.76,2.97,3.36,5.05,6.74
1991-08-01,-1.23,-0.99,0.03,1.38,3.37,-3.28,-2.76,0.1,-0.56,5.36,-4.0,-1.88,-2.94,-1.79,1.91,-3.44,-3.03,-2.81,-3.0,-1.12,-0.14,-1.53,-1.21,-0.33,0.25
1991-09-01,2.31,3.43,3.15,3.72,6.15,3.06,4.29,4.62,5.24,6.05,2.98,5.22,5.57,4.34,5.24,3.69,4.92,4.63,6.3,5.03,2.08,2.4,3.36,2.84,3.53
1991-10-01,-0.1,0.83,1.49,2.55,5.09,0.6,0.67,2.21,0.17,3.12,0.55,1.14,2.23,1.79,2.28,1.09,1.34,1.46,1.99,2.32,1.15,0.7,1.45,1.5,4.51
1991-11-01,-2.87,-1.87,-1.46,-2.54,-0.83,-5.46,-4.51,-3.88,-3.43,-4.98,-6.41,-4.28,-5.57,-4.93,-6.02,-6.5,-6.06,-5.82,-5.05,-5.85,-5.89,-4.05,-4.27,-3.98,-4.85
1991-12-01,0.84,2.88,2.77,4.32,6.33,1.23,3.39,4.95,4.4,7.19,3.39,4.58,3.68,5.0,8.19,3.73,4.34,5.65,5.53,8.78,5.03,6.6,7.96,8.46,7.14
1992-01-01,2.19,1.83,1.99,3.4,6.44,0.04,0.7,-0.25,2.46,3.58,0.33,0.3,1.24,0.13,1.35,-1.05,-1.07,-0.98,0.52,2.53,-0.43,-1.55,-2.96,-2.64,-4.81
1992-02-01,1.71,0.92,1.56,2.17,2.61,-0.34,-0.43,-0.07,-0.53,0.24,-0.73,-0.98,-0.33,-0.69,0.41,-1.23,-0.14,-0.65,-0.5,0.01,-2.59,-3.38,-1.79,-1.09,-1.42
1992-03-01,-4.86,-2.52,-1.76,-1.08,-2.87,-6.5,-4.71,-3.93,-3.53,-5.58,-6.23,-5.43,-3.22,-5.12,-6.14,-5.47,-5.58,-5.27,-4.44,-4.56,-5.73,-5.14,-4.6,-5.05,-5.52
1992-04-01,-1.99,-1.48,-1.26,-1.79,-0.54,-2.93,-3.39,-2.15,-2.5,-1.55,-2.65,-2.57,-1.3,-1.23,-2.79,-1.03,-3.16,-0.38,-0.77,-2.19,2.59,1.35,0.02,-0.04,1.16
1992-05-01,4.7,5.55,4.2,3.92,4.02,6.1,5.81,5.9,5.26,3.64,6.68,5.68,6.33,5.88,4.65,5.4,5.25,6.44,5.73,5.49,3.61,2.87,3.84,4.31,5.51
1992-06-01,-4.71,-1.69,-1.33,-1.99,-1.71,-6.82,-4.04,-3.12,-1.16,-1.91,-5.6,-3.27,-2.96,-3.09,-3.64,-5.38,-5.02,-3.89,-3.32,-2.25,-7.05,-3.29,-2.26,-2.31,-3.2
1992-07-01,-3.81,-2.41,-1.78,-0.73,0.94,-5.25,-1.82,-1.95,-2.19,-0.46,-5.46,-2.71,-1.51,-3.16,-1.13,-3.36,-2.45,-1.04,-1.36,-2.88,1.43,1.23,0.62,0.58,-1.91
1992-08-01,-1.37,-0.58,-0.88,-0.83,-1.5,3.05,2.4,1.46,0.51,-0.7,1.83,2.4,2.22,2.3,-0.57,2.73,5.27,3.3,2.65,1.4,11.59,1.85,1.25,2.2,1.82
1992-09-01,-2.91,-1.09,-1.42,-1.03,-0.61,-3.56,-1.58,-0.38,0.2,0.62,-4.46,-1.45,-0.68,0.12,-0.24,-4.87,-2.31,-1.01,-0.25,0.02,-2.42,-1.6,-0.42,-0.73,-0.07
1992-10-01,-3.98,-3.67,-4.01,-4.07,-0.98,-3.71,-4.98,-4.28,-2.83,-1.51,-4.59,-4.7,-4.28,-1.91,-1.37,-1.64,-3.36,-3.78,-2.32,-2.15,-3.41,-2.86,-2.95,-3.03,-1.71
1992-11-01,2.18,0.18,0.22,0.57,4.76,1.73,-0.11,-0.66,1.93,3.91,2.21,1.0,0.67,0.32,2.52,0.79,1.09,1.51,1.91,2.92,2.09,2.97,1.98,2.43,1.39
1992-12-01,2.52,2.6,1.95,3.54,5.53,1.36,2.72,2.86,2.11,2.73,1.54,1.73,1.66,2.76,1.79,0.9,0.48,0.93,1.87,2.3,-1.49,0.87,1.09,0.58,2.1
1993-01-01,3.21,2.78,3.53,4.12,7.1,1.41,1.42,1.03,3.13,4.62,-0.16,0.72,1.98,1.73,2.89,1.29,0.52,1.01,1.86,1.56,-1.67,-0.34,0.25,0.76,1.45
1993-02-01,1.06,2.64,2.4,2.68,2.29,1.17,1.23,1.54,1.99,1.47,1.52,1.6,1.72,1.56,1.18,2.03,2.55,2.66,1.63,1.82,0.91,0.51,3.71,2.81,1.98
1993-03-01,7.15,5.59,6.8,6.51,7.26,9.27,7.41,6.74,6.6,6.32,10.84,7.83,6.91,6.94,8.39,8.53,9.89,7.47,5.89,8.94,4.28,5.38,7.73,7.02,7.28
1993-04-01,4.59,5.41,5.83,4.34,4.01,6.6,7.33,5.4,5.66,4.45,7.96,7.06,6.55,5.77,3.01,7.34,5.99,5.47,4.17,4.96,2.13,3.75,3.02,5.03,5.66
1993-05-01,7.1,6.59,6.81,7.32,5.38,7.31,6.72,6.88,6.12,6.96,7.47,5.66,5.7,5.5,6.21,5.21,4.25,4.8,3.62,4.56,1.52,1.38,1.68,2.76,5.31
1993-06-01,-3.5,-2.16,-1.86,-0.2,0.81,-3.58,-3.67,-4.01,-1.18,-0.83,-4.57,-4.16,-3.14,-2.05,-1.3,-3.65,-3.3,-1.89,-1.54,-0.93,-3.32,-2.46,-1.55,-0.53,-1.19
1993-07-01,0.65,0.63,1.12,1.59,2.0,0.6,-0.07,0.77,0.65,2.29,0.95,1.57,1.48,1.79,2.55,1.1,1.68,3.37,2.43,3.33,0.48,1.97,2.63,2.51,5.53
1993-08-01,6.0,5.74,5.92,5.2,5.12,4.3,4.81,4.65,4.91,5.96,5.21,4.94,4.44,5.04,6.4,4.5,4.44,4.71,4.8,5.64,4.57,3.84,5.11,4.46,4.33
1993-09-01,-0.26,0.78,0.77,0.81,0.5,-0.08,0.87,-0.18,0.1,0.6,-1.16,-1.37,-1.12,-0.13,0.05,-3.19,-1.79,-0.66,-1.01,0.53,-3.1,-1.48,-1.49,-2.39,-2.34
1993-10-01,1.69,2.39,1.78,1.93,3.49,0.75,0.53,-0.14,-0.27,1.92,0.31,-0.18,-1.77,0.74,-0.29,0.39,-1.1,0.31,-0.83,-1.14,3.18,1.44,1.23,2.31,0.42
1993-11-01,-1.63,-2.26,-3.24,-3.51,-3.95,-4.29,-3.87,-5.91,-6.55,-8.01,-5.09,-5.76,-6.19,-7.15,-8.67,-5.44,-6.33,-6.18,-6.92,-8.63,-1.11,-4.22,-7.4,-8.3,-8.9
1993-12-01,2.11,4.71,3.74,4.51,5.03,4.57,4.06,3.33,4.42,6.15,4.55,5.35,4.79,5.59,5.67,4.43,5.09,4.43,6.3,5.81,1.83,4.31,4.31,5.04,4.51
1994-01-01,8.17,9.77,9.99,10.21,11.55,9.15,9.08,9.22,8.07,9.75,10.17,10.17,9.2,8.22,8.03,11.37,7.29,8.5,6.96,8.35,5.65,4.9,5.73,8.56,11.26
1994-02-01,0.68,1.06,1.83,0.54,0.25,-0.26,0.61,0.8,1.47,0.98,0.89,1.24,0.22,1.15,1.24,0.35,-0.26,0.55,-0.13,-0.07,-2.12,-2.67,-1.35,-1.33,0.4
1994-03-01,-2.13,-0.33,-1.93,-2.6,-4.13,-2.15,-1.78,-1.87,-2.77,-4.63,-0.89,-1.12,-0.89,-1.82,-4.66,-0.67,-2.11,-2.16,-3.32,-3.53,-3.37,-3.31,-4.37,-3.72,-3.85
1994-04-01,0.16,2.66,2.79,2.33,1.89,3.0,2.81,3.73,2.72,2.25,2.26,3.31,2.5,2.4,2.24,2.55,2.41,2.35,2.09,2.26,2.58,3.31,4.04,1.9,0.85
1994-05-01,-0.74,0.27,0.32,0.12,-1.03,0.37,-0.16,-0.69,-2.13,-1.56,-0.09,-0.58,-0.67,-1.16,-1.67,0.22,-0.7,-1.09,-1.15,-1.98,0.03,0.07,0.49,0.59,0.45
1994-06-01,-1.37,1.62,0.5,-0.11,-2.07,1.16,1.48,1.22,-0.81,0.09,1.77,2.19,1.22,0.68,0.02,0.91,1.31,1.67,0.01,-0.77,-0.21,-1.17,-0.2,1.37,1.69
1994-07-01,-0.02,0.69,0.1,0.96,2.0,0.13,0.45,1.03,1.54,1.25,0.52,0.97,0.62,1.33,2.22,1.46,1.41,1.47,1.56,1.63,2.62,2.46,2.12,1.05,-1.53
1994-08-01,1.51,1.68,2.51,2.03,2.43,2.55,2.41,1.85,2.14,2.02,3.04,2.12,1.18,2.0,2.44,2.83,1.65,2.15,1.81,2.78,1.82,2.19,2.26,3.3,3.28
1994-09-01,0.67,0.1,-0.16,0.31,1.25,-1.34,-1.6,-1.38,-1.28,-0.55,-3.2,-2.01,-2.63,-2.0,-0.86,-3.66,-2.18,-2.64,-2.34,-0.52,-3.2,-2.99,-2.52,-2.43,-2.48
1994-10-01,-0.61,0.08,1.16,1.3,1.71,-0.21,0.61,0.45,0.79,1.93,0.88,-0.2,0.72,0.99,2.38,0.45,2.1,0.92,1.38,2.13,2.56,2.77,3.04,2.59,3.66
1994-11-01,-5.97,-4.65,-4.61,-4.69,-4.12,-4.98,-5.21,-5.55,-4.48,-5.69,-6.16,-5.78,-5.89,-5.7,-6.23,-5.68,-5.17,-5.65,-6.22,-5.77,-3.37,-4.32,-4.68,-4.87,-5.81
1994-12-01,-3.18,0.15,0.29,1.28,0.95,0.11,1.13,1.83,1.88,2.44,-0.14,1.82,2.64,1.66,2.99,2.02,1.1,1.97,1.07,2.43,0.54,0.95,1.79,1.02,0.93
