date,Mkt-RF,SMB,HML,RF
1990-11-01,-3.72,1.43,1.13,0.57
1990-12-01,1.11,-0.74,-1.47,0.6
1991-01-01,2.49,-1.87,0.47,0.52
1991-02-01,9.03,2.46,0.03,0.48
1991-03-01,-2.29,3.28,-1.05,0.44
1991-04-01,0.54,0.01,0.46,0.53
1991-05-01,0.73,-0.54,0.32,0.47
1991-06-01,-6.07,1.32,1.11,0.42
1991-07-01,3.47,-1.79,-0.38,0.49
1991-08-01,-1.29,0.36,-0.57,0.46
1991-09-01,2.85,0.49,-0.09,0.46
1991-10-01,1.36,-0.25,-1.42,0.42
1991-11-01,-5.09,0.84,-1.35,0.39
1991-12-01,6.32,-2.02,-2.72,0.38
1992-01-01,-2.18,3.88,3.08,0.34
1992-02-01,-1.89,2.29,1.88,0.28
1992-03-01,-5.48,0.76,2.54,0.34
1992-04-01,-0.14,-1.96,3.02,0.32
1992-05-01,4.06,0.17,0.67,0.28
1992-06-01,-3.7,0.33,1.06,0.32
1992-07-01,-0.59,-2.24,-1.37,0.31
1992-08-01,2.44,-2.7,-1.61,0.26
1992-09-01,-1.38,-0.09,-0.97,0.26
1992-10-01,-2.99,-0.32,-0.5,0.23
1992-11-01,1.82,0.0,-1.79,0.23
1992-12-01,0.76,1.33,0.98,0.28
1993-01-01,0.31,1.58,3.25,0.23
1993-02-01,1.89,-1.27,3.55,0.22
1993-03-01,6.67,0.36,1.85,0.25
1993-04-01,4.3,0.6,2.91,0.24
1993-05-01,3.12,4.35,-1.5,0.22
1993-06-01,-2.11,-0.89,0.43,0.25
1993-07-01,2.25,-1.54,1.36,0.24
1993-08-01,4.37,0.86,1.14,0.25
1993-09-01,-1.95,1.82,0.28,0.26
1993-10-01,1.11,-0.33,-0.86,0.22
1993-11-01,-6.26,1.6,-0.11,0.25
1993-12-01,4.03,0.23,2.23,0.23
1994-01-01,7.26,0.27,3.19,0.25
1994-02-01,-1.17,1.41,0.54,0.21
1994-03-01,-3.7,0.63,1.85,0.27
1994-04-01,2.31,-0.17,1.25,0.27
1994-05-01,-0.18,-1.44,1.35,0.32
1994-06-01,0.09,-0.7,1.29,0.31
1994-07-01,1.11,-0.48,0.66,0.28
1994-08-01,2.12,0.07,-1.91,0.37
1994-09-01,-2.83,1.83,-0.26,0.37
1994-10-01,2.09,-1.88,-0.12,0.38
1994-11-01,-5.17,-0.25,-0.31,0.37
1994-12-01,0.77,-0.13,-0.57,0.44
1995-01-01,-2.3,0.2,0.28,0.42
1995-02-01,0.61,0.4,0.31,0.4
1995-03-01,4.22,-2.1,-1.18,0.46
1995-04-01,2.63,-1.23,0.18,0.45
1995-05-01,-0.11,-0.15,0.52,0.54
1995-06-01,-0.04,2.04,-0.94,0.47
1995-07-01,4.35,0.65,-1.97,0.45
1995-08-01,-1.77,2.1,-0.26,0.47
1995-09-01,1.68,-1.17,-1.0,0.43
1995-10-01,-1.99,-1.62,-0.34,0.47
1995-11-01,2.67,-1.25,-0.08,0.42
1995-12-01,2.14,0.24,0.51,0.49
1996-01-01,1.13,-0.11,0.77,0.43
1996-02-01,0.6,1.32,-0.64,0.39
1996-03-01,1.19,0.33,0.12,0.39
1996-04-01,2.69,3.53,-1.22,0.46
1996-05-01,0.11,2.27,-0.37,0.42
1996-06-01,-0.51,-2.65,1.45,0.4
1996-07-01,-4.56,-2.18,3.21,0.45
1996-08-01,0.96,1.35,-0.69,0.41
1996-09-01,3.19,-2.56,-0.92,0.44
1996-10-01,-0.49,-0.73,2.13,0.42
1996-11-01,4.44,-3.44,1.77,0.41
1996-12-01,-1.77,0.87,1.13,0.46
1997-01-01,0.05,-0.05,0.0,0.45
1997-02-01,0.3,-1.52,2.11,0.39
1997-03-01,-2.79,-1.11,2.47,0.43
1997-04-01,1.93,-4.51,-0.2,0.43
1997-05-01,7.01,1.78,-1.74,0.49
1997-06-01,4.02,-1.7,0.91,0.37
1997-07-01,3.75,-4.48,-0.29,0.43
1997-08-01,-5.56,5.37,0.49,0.41
1997-09-01,4.99,-2.08,-0.37,0.44
1997-10-01,-5.54,0.79,1.17,0.42
1997-11-01,0.3,-5.78,-0.51,0.39
1997-12-01,0.32,-3.6,1.93,0.48
1998-01-01,1.92,-0.37,-1.01,0.43
1998-02-01,6.5,0.05,0.49,0.39
1998-03-01,3.8,-0.66,2.01,0.39
1998-04-01,0.72,0.47,-0.29,0.43
1998-05-01,-1.65,-1.02,1.87,0.4
1998-06-01,1.23,-3.74,-1.76,0.41
1998-07-01,-1.23,-3.36,-1.16,0.4
1998-08-01,-14.07,-1.23,0.09,0.43
1998-09-01,1.22,-0.18,-3.33,0.46
1998-10-01,8.12,-3.12,1.26,0.32
1998-11-01,5.02,-0.45,-1.33,0.31
1998-12-01,4.34,-1.4,-3.47,0.38
1999-01-01,1.76,-0.05,-4.01,0.35
1999-02-01,-3.3,-0.86,0.33,0.35
1999-03-01,3.53,-1.0,0.21,0.43
1999-04-01,4.32,2.49,3.81,0.37
1999-05-01,-3.12,3.03,0.6,0.34
1999-06-01,4.65,3.16,-1.76,0.4
1999-07-01,-0.35,2.03,0.93,0.38
1999-08-01,-0.01,1.29,-1.67,0.39
1999-09-01,-0.6,2.13,-2.0,0.39
1999-10-01,4.39,-4.62,-4.04,0.39
1999-11-01,3.63,2.33,-9.48,0.36
1999-12-01,7.23,-0.66,-6.45,0.44
2000-01-01,-5.39,5.68,-1.92,0.41
2000-02-01,2.28,10.86,-10.14,0.43
2000-03-01,4.66,-10.08,6.74,0.47
2000-04-01,-5.77,-5.29,5.14,0.46
2000-05-01,-3.28,-1.13,5.56,0.5
2000-06-01,3.28,4.98,-1.41,0.4
2000-07-01,-3.38,-2.44,5.94,0.48
2000-08-01,4.22,-0.08,-1.38,0.5
2000-09-01,-5.24,-0.95,6.48,0.51
2000-10-01,-3.52,-5.72,6.79,0.56
2000-11-01,-7.46,-1.93,12.24,0.51
2000-12-01,1.37,0.53,7.63,0.5
2001-01-01,1.87,2.72,-3.88,0.54
2001-02-01,-8.77,2.11,11.92,0.38
2001-03-01,-7.77,-0.83,7.12,0.42
2001-04-01,7.67,-0.67,-3.15,0.39
2001-05-01,-1.09,2.17,2.78,0.32
2001-06-01,-2.77,1.66,3.61,0.28
2001-07-01,-2.6,-3.27,3.01,0.3
2001-08-01,-4.44,2.09,4.02,0.31
2001-09-01,-10.01,-5.0,1.95,0.28
2001-10-01,2.58,4.1,-5.16,0.22
2001-11-01,5.53,-0.64,-1.8,0.17
2001-12-01,0.66,0.21,1.34,0.15
2002-01-01,-3.07,1.02,2.0,0.14
2002-02-01,-0.72,-0.46,3.48,0.13
2002-03-01,4.66,1.42,0.52,0.13
2002-04-01,-2.48,3.74,5.39,0.15
2002-05-01,0.35,0.05,3.33,0.14
2002-06-01,-5.45,2.01,2.18,0.13
2002-07-01,-8.72,-1.45,0.17,0.15
2002-08-01,0.19,-1.48,1.67,0.14
2002-09-01,-10.34,2.74,1.04,0.14
2002-10-01,5.94,-5.03,-3.64,0.14
2002-11-01,5.14,0.1,-0.69,0.12
2002-12-01,-4.23,1.76,3.55,0.11
2003-01-01,-2.73,1.87,0.84,0.1
2003-02-01,-1.84,0.48,1.67,0.09
2003-03-01,-0.35,0.48,-1.06,0.1
2003-04-01,8.7,-0.05,-0.76,0.1
2003-05-01,6.58,3.21,0.48,0.09
2003-06-01,2.06,1.95,0.77,0.1
2003-07-01,2.21,2.25,1.45,0.07
2003-08-01,2.73,2.7,1.3,0.07
2003-09-01,1.32,2.78,0.11,0.08
2003-10-01,5.87,0.8,2.5,0.07
2003-11-01,1.68,-0.09,0.19,0.07
2003-12-01,5.64,-1.67,0.96,0.08
2004-01-01,2.29,2.57,1.85,0.07
2004-02-01,1.92,-0.04,0.7,0.06
2004-03-01,-0.03,3.76,0.44,0.09
2004-04-01,-2.34,-0.57,-1.69,0.08
2004-05-01,0.67,-1.57,0.23,0.06
2004-06-01,2.38,2.23,1.03,0.08
2004-07-01,-3.79,-1.56,2.33,0.1
2004-08-01,0.36,-0.73,1.26,0.11
2004-09-01,2.15,1.27,0.48,0.11
2004-10-01,2.56,0.51,0.14,0.11
2004-11-01,5.38,2.14,1.25,0.15
2004-12-01,3.8,-0.01,0.54,0.16
2005-01-01,-1.93,2.0,1.49,0.16
2005-02-01,2.99,0.35,1.41,0.16
2005-03-01,-2.02,-0.53,1.55,0.21
2005-04-01,-2.6,-0.99,0.05,0.21
2005-05-01,1.43,-0.88,-0.08,0.24
2005-06-01,1.23,1.86,1.63,0.23
2005-07-01,3.54,0.98,-0.15,0.24
2005-08-01,1.04,0.57,0.8,0.3
2005-09-01,2.08,-0.25,0.95,0.29
2005-10-01,-2.68,-0.16,0.23,0.27
2005-11-01,2.9,0.19,-0.74,0.31
2005-12-01,2.58,2.23,-0.53,0.32
2006-01-01,4.52,2.73,1.41,0.35
2006-02-01,-0.46,-0.75,1.35,0.34
2006-03-01,2.43,2.01,0.42,0.37
2006-04-01,2.87,0.34,1.32,0.36
2006-05-01,-4.12,-2.3,1.17,0.43
2006-06-01,-0.59,-1.66,0.1,0.4
2006-07-01,-0.25,-2.94,2.5,0.4
2006-08-01,2.23,0.21,-0.74,0.42
2006-09-01,0.6,-1.47,0.5,0.41
2006-10-01,3.33,0.51,-0.37,0.41
2006-11-01,2.29,0.34,0.4,0.42
2006-12-01,1.85,-0.17,1.36,0.4
2007-01-01,0.93,0.84,0.13,0.44
2007-02-01,-0.55,1.44,0.78,0.38
