date,WML
1990-11-01,0.14
1990-12-01,-2.64
1991-01-01,-1.69
1991-02-01,-7.45
1991-03-01,1.95
1991-04-01,-0.02
1991-05-01,0.97
1991-06-01,1.11
1991-07-01,3.45
1991-08-01,3.44
1991-09-01,1.63
1991-10-01,2.46
1991-11-01,0.97
1991-12-01,3.21
1992-01-01,0.4
1992-02-01,1.18
1992-03-01,0.7
1992-04-01,-0.01
1992-05-01,0.03
1992-06-01,2.87
1992-07-01,0.97
1992-08-01,-3.6
1992-09-01,2.58
1992-10-01,1.47
1992-11-01,0.84
1992-12-01,1.56
1993-01-01,2.49
1993-02-01,0.96
1993-03-01,0.42
1993-04-01,-0.2
1993-05-01,0.56
1993-06-01,2.75
1993-07-01,2.2
1993-08-01,0.33
1993-09-01,0.46
1993-10-01,-0.28
1993-11-01,-4.81
1993-12-01,1.8
1994-01-01,1.96
1994-02-01,0.85
1994-03-01,-1.56
1994-04-01,-0.56
1994-05-01,-0.7
1994-06-01,0.08
1994-07-01,-0.69
1994-08-01,0.51
1994-09-01,1.12
1994-10-01,1.08
1994-11-01,-0.53
1994-12-01,1.65
1995-01-01,-1.18
1995-02-01,0.45
1995-03-01,-0.49
1995-04-01,1.15
1995-05-01,0.37
1995-06-01,2.77
1995-07-01,0.78
1995-08-01,-0.33
1995-09-01,3.07
1995-10-01,2.46
1995-11-01,0.27
1995-12-01,-0.86
1996-01-01,-0.58
1996-02-01,0.8
1996-03-01,0.23
1996-04-01,0.07
1996-05-01,1.72
1996-06-01,-0.06
1996-07-01,-2.5
1996-08-01,1.74
1996-09-01,2.07
1996-10-01,2.57
1996-11-01,-0.1
1996-12-01,0.74
1997-01-01,2.55
1997-02-01,-1.21
1997-03-01,0.96
1997-04-01,4.17
1997-05-01,-2.35
1997-06-01,0.83
1997-07-01,6.34
1997-08-01,0.02
1997-09-01,5.59
1997-10-01,-1.69
1997-11-01,2.82
1997-12-01,5.23
1998-01-01,-2.71
1998-02-01,-1.78
1998-03-01,2.99
1998-04-01,1.54
1998-05-01,1.63
1998-06-01,4.79
1998-07-01,3.8
1998-08-01,0.1
1998-09-01,-0.3
1998-10-01,-3.96
1998-11-01,0.57
1998-12-01,7.52
1999-01-01,4.85
1999-02-01,-1.09
1999-03-01,-2.68
1999-04-01,-7.22
1999-05-01,-0.57
1999-06-01,5.7
1999-07-01,1.36
1999-08-01,4.25
1999-09-01,4.61
1999-10-01,5.05
1999-11-01,11.18
1999-12-01,12.19
2000-01-01,3.0
2000-02-01,17.73
2000-03-01,-12.23
2000-04-01,-10.76
2000-05-01,-11.02
2000-06-01,6.92
2000-07-01,-2.62
2000-08-01,5.99
2000-09-01,-3.68
2000-10-01,-6.54
2000-11-01,-7.68
2000-12-01,3.62
2001-01-01,-14.01
2001-02-01,8.66
2001-03-01,5.53
2001-04-01,-5.04
2001-05-01,3.48
2001-06-01,4.5
2001-07-01,3.96
2001-08-01,6.97
2001-09-01,9.34
2001-10-01,-5.84
2001-11-01,-9.55
2001-12-01,1.03
2002-01-01,3.34
2002-02-01,5.31
2002-03-01,-2.04
2002-04-01,5.96
2002-05-01,2.58
2002-06-01,6.53
2002-07-01,2.98
2002-08-01,2.01
2002-09-01,8.76
2002-10-01,-4.48
2002-11-01,-10.65
2002-12-01,9.36
2003-01-01,1.43
2003-02-01,3.4
2003-03-01,1.66
2003-04-01,-8.21
2003-05-01,-5.77
2003-06-01,-2.71
2003-07-01,-2.49
2003-08-01,-0.92
2003-09-01,0.08
2003-10-01,4.59
2003-11-01,0.07
2003-12-01,-1.9
2004-01-01,2.82
2004-02-01,-0.24
2004-03-01,0.58
2004-04-01,-3.14
2004-05-01,-0.33
2004-06-01,2.11
2004-07-01,-1.93
2004-08-01,0.4
2004-09-01,2.36
2004-10-01,-0.36
2004-11-01,1.68
2004-12-01,-0.55
2005-01-01,2.47
2005-02-01,2.27
2005-03-01,1.16
2005-04-01,0.31
2005-05-01,0.33
2005-06-01,2.57
2005-07-01,0.87
2005-08-01,3.17
2005-09-01,3.3
2005-10-01,-1.1
2005-11-01,0.84
2005-12-01,2.53
2006-01-01,3.73
2006-02-01,-1.86
2006-03-01,2.13
2006-04-01,1.46
2006-05-01,-3.01
2006-06-01,-0.2
2006-07-01,-0.27
2006-08-01,-1.28
2006-09-01,-0.32
2006-10-01,0.59
2006-11-01,0.48
2006-12-01,1.41
2007-01-01,0.65
2007-02-01,-0.04
2007-03-01,1.79
2007-04-01,1.26
2007-05-01,0.82
2007-06-01,0.1
2007-07-01,2.61
2007-08-01,-0.86
2007-09-01,4.9
2007-10-01,3.78
2007-11-01,-0.45
2007-12-01,2.64
2008-01-01,-4.91
2008-02-01,5.07
2008-03-01,0.58
2008-04-01,-0.47
2008-05-01,2.68
2008-06-01,9.23
2008-07-01,-4.35
2008-08-01,-3.32
2008-09-01,0.17
2008-10-01,7.54
2008-11-01,4.17
2008-12-01,-2.3
2009-01-01,0.14
2009-02-01,2.21
2009-03-01,-9.11
2009-04-01,-24.26
2009-05-01,-10.4
2009-06-01,2.72
2009-07-01,-2.9
2009-08-01,-6.2
2009-09-01,-2.28
2009-10-01,1.63
2009-11-01,0.74
2009-12-01,2.09
2010-01-01,-2.26
2010-02-01,1.5
2010-03-01,4.03
2010-04-01,1.77
2010-05-01,-0.73
2010-06-01,-0.89
2010-07-01,0.29
2010-08-01,2.3
2010-09-01,2.34
2010-10-01,0.51
2010-11-01,4.3
2010-12-01,-0.4
2011-01-01,-1.6
2011-02-01,1.22
2011-03-01,1.32
