date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1990-11-01,-21.43,-18.92,-17.38,-16.56,-19.68,-17.63,-18.99,-15.56,-18.76,-16.15,-19.38,-19.58,-15.45,-19.41,-18.92,-20.32,-16.91,-16.95,-17.13,-17.87,-14.57,-10.11,-11.77,-13.25,-13.19
1990-12-01,-1.44,-1.62,-2.84,-2.24,-2.65,-0.66,-6.34,-4.91,-4.14,-4.33,-1.87,-5.34,-1.79,-3.57,-3.2,-2.35,0.21,-0.89,-0.66,-1.69,5.11,5.97,5.62,3.0,-0.2
1991-01-01,-9.89,-7.68,-4.95,-7.92,-6.03,-3.98,-6.29,-6.29,-6.34,-5.73,-6.33,-3.02,-1.87,-2.88,-4.63,-1.96,-1.63,-2.18,-0.86,-2.21,2.96,3.65,4.01,1.41,2.55
1991-02-01,27.73,28.04,27.14,23.15,16.53,22.41,26.72,28.66,24.29,21.41,23.37,23.46,18.35,20.4,21.18,21.72,17.65,20.63,18.78,18.78,11.12,8.0,10.81,16.38,12.66
1991-03-01,-0.5,4.17,-5.39,4.75,0.03,-1.99,0.22,-3.17,-1.11,-1.75,-0.92,-3.64,1.52,-0.33,-0.59,-4.37,-2.28,-3.36,-1.86,-1.31,-5.61,-3.85,-4.26,-5.15,-5.84
1991-04-01,4.45,3.47,5.69,3.94,10.56,2.62,2.95,1.31,6.98,5.42,1.59,3.04,5.68,3.2,2.87,-0.21,1.42,2.71,1.88,3.81,2.02,2.96,2.63,1.9,2.0
1991-05-01,-4.69,-1.68,-5.04,-0.38,1.01,-3.47,-2.49,-0.81,-0.94,-3.87,-2.78,-1.23,-1.65,-1.34,-3.49,-3.18,-1.04,-1.77,-1.4,-1.17,-2.65,-0.4,-0.65,-1.2,-3.03
1991-06-01,-8.2,-6.56,-3.97,-0.69,-4.09,-6.05,-6.77,-5.97,-5.0,-4.29,-7.86,-2.89,-6.41,-4.31,-3.32,-9.55,-7.02,-6.26,-6.31,-5.48,-8.68,-7.66,-7.25,-9.64,-2.82
1991-07-01,-0.24,-2.9,-3.24,-2.55,-3.94,-1.97,0.24,0.62,-0.67,-1.52,0.31,0.25,-2.47,-0.04,-0.38,-2.67,0.33,0.68,-0.04,1.34,2.14,2.04,4.11,3.83,3.91
1991-08-01,-11.54,-9.6,-11.45,-9.45,-11.55,-11.03,-13.11,-12.16,-12.77,-11.13,-10.53,-9.67,-11.29,-10.97,-10.01,-11.2,-10.18,-10.23,-9.67,-11.6,-6.38,-3.64,-5.36,-6.76,-6.66
1991-09-01,7.84,9.93,10.58,7.17,10.72,10.13,13.54,12.92,12.11,11.16,12.01,13.24,11.44,11.02,10.4,14.66,11.67,13.59,13.5,12.64,9.46,7.15,9.07,10.07,7.24
1991-10-01,9.89,7.98,5.34,5.74,3.71,9.48,7.04,7.88,5.3,4.82,7.74,8.49,5.36,2.91,5.17,5.61,5.79,4.43,3.26,4.22,6.58,5.77,3.91,2.0,3.07
1991-11-01,-8.1,-9.06,-9.94,-9.23,-10.65,-9.55,-12.01,-10.55,-10.93,-10.56,-12.18,-7.34,-11.04,-9.28,-9.92,-12.06,-11.47,-10.16,-8.78,-9.05,-9.03,-6.11,-6.01,-7.86,-9.29
1991-12-01,5.78,3.49,4.17,2.86,3.99,5.25,5.74,3.35,3.14,4.41,4.83,1.25,3.65,3.0,3.71,3.9,3.3,4.16,3.82,2.75,3.51,1.95,2.58,4.11,4.18
1992-01-01,-7.62,-7.43,-8.98,-8.9,-6.64,-4.37,-7.61,-7.41,-6.4,-4.31,-6.11,-3.89,-4.33,-4.95,-5.78,-3.1,-4.55,-4.43,-3.33,-2.81,-6.22,-7.92,-5.29,-3.59,-2.71
1992-02-01,-4.31,-3.58,-5.16,-2.93,-2.42,-4.18,-3.43,-3.09,-5.57,-5.02,-3.99,-5.62,-4.81,-3.89,-4.88,-2.54,-4.65,-4.02,-4.71,-6.22,-8.36,-6.98,-8.25,-6.75,-8.81
1992-03-01,-14.27,-8.54,-11.12,-12.46,-11.42,-14.21,-13.56,-10.14,-11.6,-12.38,-14.58,-13.28,-11.43,-11.77,-10.94,-10.02,-11.61,-9.84,-10.54,-10.65,-13.0,-11.38,-10.52,-8.93,-10.1
1992-04-01,-12.53,-11.9,-10.01,-9.86,-6.58,-11.06,-10.01,-12.46,-11.61,-9.07,-13.34,-11.66,-10.13,-7.42,-7.62,-10.95,-11.26,-6.84,-9.21,-6.34,-9.37,-10.16,-7.61,-3.39,0.67
1992-05-01,13.93,12.03,14.13,13.0,12.79,15.65,14.43,15.91,15.18,11.81,17.85,16.47,15.25,9.64,10.33,12.79,13.11,11.2,10.22,11.66,10.15,7.9,8.25,8.18,6.16
1992-06-01,-8.18,-8.22,-8.29,-7.14,-8.19,-11.09,-11.21,-8.21,-7.56,-8.82,-12.85,-10.66,-7.78,-8.88,-6.25,-9.82,-9.0,-8.27,-8.17,-7.36,-9.71,-9.84,-8.9,-5.98,-7.97
1992-07-01,-8.65,-8.44,-6.59,-7.6,-7.55,-9.41,-8.51,-8.45,-6.58,-5.85,-7.7,-8.29,-7.99,-6.35,-8.18,-7.88,-8.95,-5.57,-5.17,-6.9,1.98,-0.83,-3.93,-2.92,-3.58
1992-08-01,11.62,8.52,7.81,8.99,7.26,11.34,10.58,11.48,10.23,9.77,16.56,14.01,13.35,11.88,12.0,17.55,17.39,14.13,14.15,15.84,24.26,17.68,16.53,13.98,11.81
