date,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
1990-11-01,-20.2,-21.18,-18.72,-18.34,-13.32,-23.03,-19.81,-16.94,-17.2,-15.42,-19.43,-20.65,-19.64,-16.5,-13.74,-18.83,-18.02,-19.21,-16.57,-15.16,-11.84,-10.46,-15.32,-12.05,-16.4
1990-12-01,-2.59,-2.66,-3.41,-6.06,-8.49,-2.42,-0.9,-2.22,-3.63,-4.41,0.61,-0.72,-1.56,-4.85,-6.78,0.45,3.31,-0.71,-1.39,-6.32,8.07,5.53,2.53,-0.74,-6.21
1991-01-01,-7.95,-4.68,-8.76,-6.63,-4.28,-5.98,-5.45,-3.11,-4.97,-3.19,-3.42,-2.86,-3.67,-3.28,-5.42,-1.86,-3.85,-1.56,0.17,1.0,3.05,3.27,3.6,3.26,2.36
1991-02-01,33.43,24.27,19.67,17.02,15.43,32.38,30.73,20.1,20.94,11.9,25.31,25.56,18.59,15.61,12.23,24.1,18.59,20.38,14.33,8.85,20.93,13.96,10.74,6.81,8.07
1991-03-01,-0.25,3.08,0.63,0.52,1.49,-0.87,0.61,1.67,-2.27,1.56,-0.51,-0.87,1.15,1.87,2.69,-3.5,-1.35,-2.98,-3.86,0.15,-5.64,-5.64,-6.33,-4.08,-2.9
1991-04-01,7.38,7.69,5.9,3.84,9.77,4.21,5.43,4.83,3.91,7.01,3.19,3.42,3.83,6.02,3.2,1.58,1.95,2.16,1.73,5.51,2.64,0.98,1.75,3.5,2.24
1991-05-01,-4.51,-2.03,-1.66,-1.68,0.11,-4.1,-2.0,-2.65,-1.75,0.04,-3.31,-2.02,-1.45,-2.82,-0.9,-3.87,-1.83,-1.99,-1.79,-1.04,-1.78,-2.94,-0.44,-1.0,-0.97
1991-06-01,-4.59,-3.29,-2.07,-1.93,1.67,-6.55,-6.05,-2.71,-3.91,-2.54,-5.13,-4.36,-3.22,-6.22,-2.0,-8.66,-6.82,-6.69,-5.2,-1.05,-9.44,-8.28,-7.54,-6.9,-5.26
1991-07-01,-3.78,-1.71,-2.57,-4.03,-5.76,-0.89,-0.42,-2.01,-3.99,-3.84,-1.5,-0.19,-0.75,-1.67,-0.93,-0.53,-0.12,-0.79,0.51,-1.46,1.4,2.35,2.52,3.28,3.78
1991-08-01,-10.67,-10.56,-8.62,-7.99,-7.73,-12.71,-11.67,-10.22,-11.55,-9.59,-12.27,-10.65,-11.55,-8.22,-9.07,-12.33,-10.62,-8.71,-11.75,-9.02,-8.9,-10.0,-6.85,-5.51,-2.36
1991-09-01,8.28,8.97,7.7,7.57,8.75,11.13,13.51,12.76,12.29,9.92,11.15,11.34,11.99,10.65,9.6,14.01,12.46,14.39,13.99,11.91,14.1,9.85,8.97,9.37,5.35
1991-10-01,5.26,5.41,5.7,2.13,4.01,4.21,5.13,6.21,3.13,2.0,4.2,4.27,5.02,5.84,3.75,4.49,4.96,3.28,6.34,3.19,4.36,1.65,3.17,3.25,7.4
1991-11-01,-8.43,-9.16,-7.21,-7.27,-9.64,-10.44,-9.28,-9.16,-11.13,-9.98,-11.52,-11.6,-9.13,-7.84,-10.14,-11.55,-10.06,-11.53,-8.54,-10.34,-10.68,-9.09,-9.54,-6.87,-5.22
1991-12-01,1.09,2.78,2.94,4.52,-0.76,1.11,3.81,3.25,3.04,2.89,2.58,2.36,3.04,3.26,3.91,2.55,2.78,3.26,4.87,4.33,2.43,4.54,4.71,2.49,0.66
1992-01-01,-7.76,-6.43,-7.77,-5.67,-7.49,-6.75,-4.71,-5.02,-3.01,-4.66,-6.07,-3.94,-3.54,-5.73,-3.17,-2.24,-2.81,-3.51,-4.78,-1.66,-3.34,-5.35,-4.67,-6.02,-8.15
1992-02-01,-3.54,-1.91,-2.27,-3.69,-3.7,-4.65,-3.01,-5.38,-3.74,-4.62,-4.17,-4.35,-3.7,-4.38,-4.12,-5.19,-5.55,-3.96,-4.82,-4.32,-7.06,-8.88,-8.63,-6.4,-7.4
1992-03-01,-12.29,-11.6,-10.06,-6.99,-10.21,-12.68,-13.67,-9.05,-12.33,-12.48,-12.82,-12.27,-10.44,-9.02,-11.16,-13.02,-11.24,-9.43,-9.36,-9.74,-11.48,-10.57,-11.05,-11.24,-10.98
1992-04-01,-9.44,-11.24,-9.31,-7.52,-7.05,-7.74,-10.81,-9.93,-7.9,-9.84,-7.59,-11.36,-7.7,-11.44,-10.63,-6.7,-10.94,-7.7,-8.8,-8.49,-4.24,-8.15,-10.27,-4.52,-6.1
1992-05-01,11.87,12.48,12.15,9.75,7.7,11.43,13.37,15.7,10.32,11.11,13.44,12.79,15.07,11.14,11.27,11.87,11.67,13.49,11.43,10.27,8.81,7.42,7.25,8.39,8.49
1992-06-01,-9.73,-6.91,-6.89,-5.51,-0.72,-10.01,-9.46,-9.84,-7.43,-3.79,-10.0,-10.45,-8.99,-7.95,-5.05,-11.35,-11.34,-9.19,-6.18,-3.54,-13.19,-12.41,-8.2,-6.53,-5.2
1992-07-01,-8.82,-7.44,-7.26,-6.89,-5.08,-9.85,-5.54,-4.97,-8.67,-9.07,-9.65,-7.26,-5.24,-6.16,-10.55,-8.88,-7.33,-4.2,-5.94,-6.91,2.25,1.18,-1.66,-1.49,-6.0
1992-08-01,11.6,6.38,5.7,6.62,4.73,16.99,12.39,10.85,7.78,8.11,17.11,11.34,13.87,9.22,10.44,24.35,16.93,14.47,11.03,11.22,28.82,20.48,12.94,13.8,9.98
1992-09-01,1.44,3.48,1.05,3.68,5.53,-1.66,1.86,0.67,1.08,0.66,-3.65,-0.09,0.3,-0.29,-0.24,-4.56,-1.19,-1.6,-0.63,-2.4,-4.05,-3.75,-2.75,-2.12,-2.81
1992-10-01,-8.18,-6.53,-6.97,-4.33,-3.36,-8.65,-7.86,-6.3,-5.29,-3.33,-7.27,-5.97,-5.74,-4.06,-2.12,-8.53,-6.06,-4.37,-5.3,-3.48,-8.56,-5.35,-5.18,-4.87,-3.03
1992-11-01,-2.83,-2.82,-2.89,-2.03,-2.57,-0.24,-1.76,-0.95,-0.87,-0.69,0.21,2.06,1.02,0.32,0.0,2.16,2.41,2.57,2.08,-0.18,6.55,1.62,1.95,2.34,1.78
1992-12-01,5.38,3.14,2.26,3.43,1.31,2.4,1.63,-0.97,0.05,-1.66,1.17,-0.83,0.75,1.84,-0.64,-0.36,-1.92,-1.62,-2.57,-1.78,-2.32,-2.41,-0.02,-1.24,0.32
1993-01-01,-1.37,-2.39,-2.84,-2.88,-0.75,-1.99,-1.82,-2.87,-3.13,0.07,-1.76,-1.85,-2.42,0.18,-1.85,-1.76,-2.35,-0.65,-1.08,-1.02,-0.39,-0.4,-0.79,0.57,-0.69
1993-02-01,7.61,7.52,7.53,7.51,6.77,5.54,4.67,4.52,5.56,5.85,5.13,5.02,3.67,4.24,5.82,3.87,5.71,5.41,3.25,4.88,3.3,3.97,5.29,5.05,3.11
1993-03-01,20.11,14.17,14.73,9.56,10.77,22.83,16.12,14.42,10.9,11.54,23.0,18.54,11.98,9.5,12.34,20.03,17.87,14.59,9.88,12.29,23.56,20.73,21.67,13.33,10.0
1993-04-01,21.26,19.93,15.64,16.76,14.87,19.17,19.84,18.3,15.22,16.9,19.62,17.7,15.69,17.06,14.03,18.57,17.4,16.13,14.45,14.59,19.25,19.55,17.51,16.77,14.61
1993-05-01,20.2,21.75,23.39,22.8,20.54,14.08,16.0,15.51,15.15,13.38,10.69,10.25,12.8,12.36,9.58,6.85,8.6,7.96,6.64,7.32,0.58,0.86,1.88,2.36,5.99
1993-06-01,-6.22,-5.82,-5.52,-5.12,-7.32,-5.21,-5.12,-6.3,-7.11,-8.54,-6.29,-7.76,-5.78,-5.42,-6.82,-6.41,-5.22,-4.31,-4.25,-4.86,-5.74,-3.62,-4.01,-3.34,-2.65
