date,WML
1990-11-01,1.5
1990-12-01,-8.04
1991-01-01,0.46
1991-02-01,-15.23
1991-03-01,1.45
1991-04-01,1.08
1991-05-01,2.27
1991-06-01,3.08
1991-07-01,0.57
1991-08-01,4.49
1991-09-01,-3.07
1991-10-01,1.32
1991-11-01,2.25
1991-12-01,-0.27
1992-01-01,-1.3
1992-02-01,0.6
1992-03-01,1.2
1992-04-01,-0.88
1992-05-01,-0.54
1992-06-01,6.06
1992-07-01,-2.67
1992-08-01,-10.37
1992-09-01,1.98
1992-10-01,3.85
1992-11-01,-1.49
1992-12-01,-0.43
1993-01-01,0.54
1993-02-01,-0.04
1993-03-01,-10.11
1993-04-01,-3.59
1993-05-01,0.66
1993-06-01,0.36
1993-07-01,1.34
1993-08-01,1.36
1993-09-01,-1.43
1993-10-01,0.92
1993-11-01,-3.42
1993-12-01,2.6
1994-01-01,0.19
1994-02-01,2.8
1994-03-01,-1.46
1994-04-01,-0.95
1994-05-01,-1.5
1994-06-01,1.13
1994-07-01,-1.19
1994-08-01,0.24
1994-09-01,0.63
1994-10-01,2.91
1994-11-01,-0.63
1994-12-01,0.06
1995-01-01,-7.15
1995-02-01,2.84
1995-03-01,-1.27
1995-04-01,1.29
1995-05-01,2.17
1995-06-01,0.52
1995-07-01,-5.73
1995-08-01,-4.63
1995-09-01,1.72
1995-10-01,2.08
1995-11-01,-1.36
1995-12-01,-6.15
1996-01-01,-1.99
1996-02-01,-1.72
1996-03-01,0.04
1996-04-01,-2.42
1996-05-01,-1.11
1996-06-01,0.46
1996-07-01,-4.27
1996-08-01,0.51
1996-09-01,-0.28
1996-10-01,1.06
1996-11-01,1.19
1996-12-01,2.19
1997-01-01,4.09
1997-02-01,-0.74
1997-03-01,3.67
1997-04-01,4.05
1997-05-01,-4.04
1997-06-01,-2.6
1997-07-01,11.61
1997-08-01,-0.75
1997-09-01,10.61
1997-10-01,-1.68
1997-11-01,11.71
1997-12-01,9.84
1998-01-01,-19.83
1998-02-01,-7.25
1998-03-01,4.71
1998-04-01,4.35
1998-05-01,-0.13
1998-06-01,-0.24
1998-07-01,2.62
1998-08-01,5.75
1998-09-01,2.91
1998-10-01,-6.11
1998-11-01,-8.6
1998-12-01,6.9
1999-01-01,-0.3
1999-02-01,1.57
1999-03-01,-4.21
1999-04-01,-2.19
1999-05-01,-2.71
1999-06-01,11.54
1999-07-01,4.59
1999-08-01,7.45
1999-09-01,8.36
1999-10-01,6.51
1999-11-01,14.95
1999-12-01,7.94
2000-01-01,-6.08
2000-02-01,14.8
2000-03-01,-14.93
2000-04-01,-6.61
2000-05-01,-13.5
2000-06-01,-4.92
2000-07-01,-6.74
2000-08-01,8.66
2000-09-01,-1.41
2000-10-01,-4.03
2000-11-01,-0.52
2000-12-01,1.97
2001-01-01,-5.69
2001-02-01,1.72
2001-03-01,0.01
2001-04-01,1.37
2001-05-01,2.41
2001-06-01,6.71
2001-07-01,6.06
2001-08-01,6.92
2001-09-01,1.4
2001-10-01,-2.24
2001-11-01,-5.91
2001-12-01,4.27
