This file was created using the 202607 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Developed.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
 ,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199007   ,1.13   ,1.30   ,1.26   ,1.44  ,-0.14   ,2.10   ,1.18   ,1.81   ,0.90   ,0.93   ,2.18   ,2.61   ,2.34   ,3.00   ,2.10   ,2.92   ,2.87   ,2.39   ,2.46   ,3.02   ,1.23  ,-0.32   ,1.78   ,2.09   ,0.44
199008 ,-10.67 ,-12.07 ,-10.34  ,-9.47  ,-9.89 ,-12.50  ,-9.95 ,-11.75 ,-11.07 ,-10.43 ,-13.88 ,-12.42 ,-13.08 ,-11.81 ,-12.30 ,-11.28 ,-11.45 ,-11.72 ,-12.34 ,-12.00  ,-9.24 ,-10.12  ,-9.07  ,-9.09  ,-9.92
199009  ,-9.87  ,-7.97  ,-8.56  ,-7.21  ,-8.17 ,-10.94 ,-10.24  ,-9.10  ,-8.37  ,-9.04 ,-12.17 ,-11.30 ,-11.76 ,-11.77 ,-12.17 ,-12.94 ,-11.08 ,-12.26 ,-13.05 ,-12.95 ,-11.32 ,-11.36 ,-10.63 ,-10.35 ,-12.31
199010  ,-0.34  ,-1.08   ,0.04  ,-1.78  ,-2.98   ,5.21   ,1.44   ,1.44   ,1.66  ,-0.03  ,11.69   ,8.67   ,7.39   ,7.43   ,6.71  ,11.44   ,8.35  ,10.72   ,9.47   ,9.64   ,9.55  ,16.04  ,10.12   ,8.18   ,9.71
199011  ,-0.47  ,-0.13   ,0.08  ,-0.53   ,0.55  ,-3.00   ,0.14  ,-0.61   ,0.09  ,-0.05  ,-7.16  ,-3.19  ,-3.03  ,-5.32  ,-3.99  ,-5.36  ,-3.72  ,-4.80  ,-4.96  ,-5.44  ,-1.44  ,-4.08  ,-2.28  ,-1.39  ,-4.53
199012  ,-0.50   ,2.35   ,0.85  ,-0.60   ,0.95   ,1.24   ,1.76   ,1.80   ,1.68   ,1.81   ,2.75   ,0.97  ,-0.02  ,-0.14   ,0.06  ,-0.34   ,1.44  ,-0.23   ,0.63   ,0.82   ,2.64   ,3.35   ,2.75   ,0.94   ,0.10
199101   ,2.25   ,2.48   ,2.26   ,2.04   ,4.06  ,-0.03   ,1.66   ,1.80   ,2.77   ,2.03   ,0.31   ,0.73   ,1.62  ,-0.62   ,1.01   ,0.92   ,1.73   ,0.09   ,1.41   ,1.94   ,4.25   ,3.41   ,3.12   ,2.70   ,4.74
199102  ,11.62  ,10.69   ,9.84  ,10.04  ,10.37  ,13.03  ,12.47  ,11.70   ,9.46  ,11.44  ,13.71  ,12.23  ,14.00  ,13.67  ,13.02  ,13.45  ,11.63  ,12.48  ,13.48  ,12.64   ,9.30   ,7.43   ,7.91   ,9.22  ,10.28
199103   ,4.61   ,2.51   ,2.31   ,2.02   ,2.96   ,1.44  ,-0.06  ,-0.17   ,1.03   ,1.21   ,0.02  ,-0.81  ,-0.76  ,-1.40   ,0.43  ,-0.59  ,-1.35  ,-2.64  ,-1.49  ,-0.50  ,-0.82  ,-2.33  ,-2.17  ,-4.00  ,-3.45
199104  ,-0.06  ,-0.79   ,0.90   ,0.09   ,1.55   ,0.38   ,1.34   ,1.70  ,-0.18   ,1.06   ,0.01  ,-0.23   ,0.32   ,1.59   ,1.15  ,-0.14  ,-0.46   ,1.04   ,1.25   ,1.46   ,0.51   ,1.44   ,1.43   ,1.14   ,0.82
