This file was created using the 202607 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 prior return portfolios in Developed.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
199011   ,1.49  ,-0.44  ,-2.04  ,-1.65  ,-0.35   ,0.60  ,-2.04  ,-3.56  ,-4.10  ,-2.81  ,-2.85  ,-3.73  ,-5.80  ,-6.86  ,-5.39  ,-0.60  ,-4.90  ,-2.96  ,-5.76  ,-6.06  ,-5.94  ,-6.11  ,-2.99  ,-1.85   ,0.71
199012  ,-1.44   ,1.23  ,-0.09   ,0.14   ,0.39   ,0.68   ,1.26   ,0.33   ,0.55  ,-0.78   ,0.58   ,0.91   ,0.01  ,-0.17  ,-0.19   ,1.74   ,2.09   ,1.83   ,0.07  ,-2.98   ,6.15   ,3.71   ,1.31   ,0.52  ,-0.46
199101   ,4.41   ,1.49   ,0.36  ,-0.31   ,2.63   ,2.81  ,-0.73  ,-0.03  ,-1.49   ,1.24   ,1.58  ,-1.07   ,0.33   ,0.00   ,0.80   ,4.19   ,0.71  ,-0.10   ,0.45   ,1.29   ,5.38   ,3.91   ,4.15   ,1.91   ,3.52
199102  ,16.93  ,12.01   ,9.90   ,8.57  ,10.37  ,19.20  ,15.07  ,11.06  ,10.05   ,9.50  ,20.79  ,16.52  ,12.75  ,10.89  ,10.44  ,16.95  ,14.57  ,11.44   ,9.38   ,8.88  ,13.74   ,9.76   ,8.82   ,6.13   ,7.27
199103   ,2.34   ,1.25   ,0.46   ,2.13   ,4.92   ,0.07   ,0.83   ,0.99   ,0.62   ,4.14  ,-0.94   ,0.04  ,-1.41  ,-1.03   ,2.25  ,-2.21  ,-1.14  ,-2.00  ,-0.80   ,0.54  ,-3.32  ,-3.43  ,-3.60  ,-2.46  ,-0.53
199104   ,0.24   ,1.32   ,2.52   ,1.02   ,1.61   ,0.86   ,1.41   ,1.50   ,1.46   ,1.30   ,1.27   ,1.61   ,1.67   ,2.82   ,0.44   ,0.96   ,0.26   ,1.28   ,1.07   ,0.18   ,2.14   ,0.56   ,1.05   ,1.26   ,0.44
199105  ,-0.80   ,0.19  ,-0.33   ,1.02   ,2.81  ,-1.11   ,0.63   ,0.28   ,0.01   ,2.55  ,-0.52   ,1.03  ,-0.28   ,0.17   ,1.09   ,0.91  ,-0.21   ,0.53   ,0.30   ,1.23   ,2.37   ,1.18   ,1.81   ,0.76   ,1.62
199106  ,-4.78  ,-3.66  ,-2.73  ,-3.51  ,-4.21  ,-4.46  ,-3.99  ,-3.85  ,-4.18  ,-3.72  ,-4.78  ,-4.95  ,-3.11  ,-4.14  ,-3.92  ,-6.52  ,-5.64  ,-5.20  ,-4.47  ,-4.11  ,-7.11  ,-6.47  ,-6.54  ,-5.38  ,-5.11
199107   ,1.33   ,1.08   ,2.84   ,2.69   ,5.13  ,-0.10   ,1.60   ,1.08   ,2.56   ,3.74   ,0.99   ,2.01   ,1.58   ,1.21   ,4.77   ,1.05   ,2.11   ,1.62   ,3.58   ,4.43   ,2.76   ,2.97   ,3.36   ,5.05   ,6.74
199108  ,-1.23  ,-0.99   ,0.03   ,1.38   ,3.37  ,-3.28  ,-2.76   ,0.10  ,-0.56   ,5.36  ,-4.00  ,-1.88  ,-2.94  ,-1.79   ,1.91  ,-3.44  ,-3.03  ,-2.81  ,-3.00  ,-1.12  ,-0.14  ,-1.53  ,-1.21  ,-0.33   ,0.25
199109   ,2.31   ,3.43   ,3.15   ,3.72   ,6.15   ,3.06   ,4.29   ,4.62   ,5.24   ,6.05   ,2.98   ,5.22   ,5.57   ,4.34   ,5.24   ,3.69   ,4.92   ,4.63   ,6.30   ,5.03   ,2.08   ,2.40   ,3.36   ,2.84   ,3.53
